stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte
24hpf,0,0,4.09,0,8.17,0,24.52,0,0,0
72hpf,1.07,0,1.07,0,0,6.42,0,1.07,0,0
21Day,2.68,0,0,2.68,1.34,4.02,0,1.34,1.34,0
3Month,0,0.32,0,0,0,0,0,0,0,0.32
