stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,47.07,4.28,0,83.44,3.21,27.81,0,2.14,0,4.28,0,0,0,3.21,0,4.28,9399.18,4.28,43.86,0,2.14,1.07,259.96,117.68,1.07,40.65,0,0,20.33,2.14,0,3.21,0,0,0
21Day,8.03,1.34,1.34,433.68,1.34,8.03,0,0,0,0,0,0,0,2.68,2.68,17.4,366.76,2.68,13.39,0,0,5.35,16.06,8.03,0,8.03,1.34,0,0,1.34,4.02,1.34,0,0,2.68
3Month,0,0.64,0,102.06,0,0,0,0.32,0.96,1.28,0,3.84,1.92,0,2.24,3.84,3.84,1.92,1.92,0.32,0,0.32,0,0.64,0.32,0,0,1.92,0,0,0,0,4.8,0.96,2.56
22Month,0,0.55,0,19.13,0,0,0.55,0,0,3.28,0.55,13.67,1.64,0.55,3.83,0,2.19,3.28,3.28,0,0.55,0,0,0,0,0.55,0.55,3.83,0,0,0,0,0,0,1.64
