stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,20.43,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,10.7,3.21,1.07,0,1.07,0,0
21Day,0,1.34,0,5.35,1.34,0,0,0,0,0,0,1.34,0,6.69,0,5.35,1.34,0,0,0,0,1.34
3Month,0.32,0,0.32,1.92,0,0.32,0,0,0.32,0,0,0,0.96,0.64,0.32,0,0,0.32,2.24,0,0,1.28
22Month,0,0,0,0.55,0,0,1.09,1.09,9.84,1.09,0,0,0.55,0,0,0,0,0,1.64,0,0.55,0
