stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,27.81,2.14,0,11.77,19.26,0,0,0,0,0,0,0,5.35,23.54,4.28,14.98,2.14,2.14,2489.4,49.21,3.21,5.35,20.33,0,0,7.49,0,0,1.07,0,0,0
21Day,10.71,0,0,28.11,33.46,2.68,1.34,0,8.03,1.34,4.02,12.05,1.34,16.06,4.02,26.77,0,5.35,1041.38,12.05,1.34,13.39,13.39,24.09,0,12.05,4.02,4.02,4.02,0,0,2.68
3Month,0,0,0,1.28,0,0,0.32,0,0.96,0.64,0,0.96,0,0,1.6,1.6,0,0,5.12,0,0.96,0.32,0,0.64,0.64,0.32,0,0,0,0.64,1.28,0.32
22Month,0,0,1.09,0.55,0,0,3.83,1.09,19.68,0.55,0,0.55,0,0,1.64,1.64,0,0,21.87,0,2.73,0.55,0,0,3.83,2.73,0,0,0,0,0,0.55
