stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,16.35,0,4.09,0,0,0,0,8.17,0,0,0
72hpf,7.49,0,0,0,0,0,0,0,0,0,0
21Day,26.77,0,0,0,0,1.34,1.34,0,0,1.34,0
3Month,6.4,0,0.64,0,0,0.32,0,0,0.32,0,0.32
22Month,0,0.55,0.55,1.64,0.55,0,0.55,0,0,0,1.09
