stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,0,20.43,20.43,0,0,0,0,0,0
72hpf,4.28,1.07,0,0,0,0,0,1.07,2.14,0,0,138,6.42,0,1.07,0,1.07,5.35,16.05
21Day,0,0,2.68,0,1.34,0,0,0,0,1.34,0,26.77,2.68,0,0,1.34,0,24.09,26.77
3Month,0,0,1.92,0,0.64,0.64,0.64,0.64,0,0,0.32,6.08,0,0.32,0,0,0,0,0
22Month,0,0,0.55,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
