stage,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,0,4.09,24.52,0
72hpf,1.07,0,0,0,3.21,5.35,0
21Day,1.34,4.02,1.34,1.34,0,2.68,1.34
