stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,113.78,8.03,1.34,603.68,6.69,73.62,0,8.03,0,6.69,22.76,4.02,92.36,9.37,12.05,199.44,5.35,66.93,3537.74,152.59,38.82,2.68,30.79,88.34,4.02,1.34,13.39,58.9,0,9.37
3Month,0,0,0,2.24,0,0,0.32,0,0.64,0.32,3.84,1.28,0.96,0.64,0.64,0,1.28,0.64,36.15,0,0,20.8,0,0,0,0,0,0,0.32,0.96
22Month,0,0,0,0,0,0,0,0,0,1.09,6.01,0.55,0.55,0,0,0,1.09,0,2.73,0,0,0,0,0,0,0,0,0,0,0.55
