stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,0,0
21Day,0,0,36.14,1.34,0,1.34,0,0,0,0,0,0,6.69,0,1.34,0,0,0,0,1.34,0,0,1.34,9.37,0,0,0
3Month,1.6,0.32,29.44,0,0.32,0,0.96,1.92,9.92,3.84,4.16,0.96,2.56,3.52,5.12,1.28,0,0.96,0.96,0.64,0,0,3.2,500.72,1.28,146.54,2.56
22Month,0.55,0.55,24.05,0,1.09,0,0,1.64,9.29,0.55,0.55,1.64,0.55,2.19,0.55,0.55,0.55,2.19,0,0.55,0,0.55,0,150.33,0.55,1.09,0.55
