stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,118.51,4.09,0,0,0,44.95,8.17,49.04,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,2.14,9.63,1.07,0,0,0,0,0,0,0,0,0,5.35,1.07,0,0,0,17.12,2.14,7.49,2.14,2.14,0,0,2.14,0,0,0,0
21Day,0,0,2.68,0,13.39,2.68,0,1.34,0,0,0,0,0,1.34,6.69,0,1.34,4.02,1.34,1.34,4.02,1.34,1.34,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0,0.32,0.32,30.08,4.8,0,0.32,0,0.32,0,0,3.2,0.96,0,1.28,11.2,0.64,1.92,0,0.32,15.04,0.32,0.32,1.6,0,0.64,11.84,0,0.32,0.64,4.48,0.32
22Month,0,1.09,0,10.39,0.55,0,0,0,0.55,0.55,0.55,8.2,0.55,0,0,0,0.55,1.64,0,0.55,0,0,0,0.55,0,0,7.11,0,0,0,0,0.55
