stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,69.47,0,4.09,126.68,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,1.07,0,0,0,0,0,33.16,0,24.61,5.35,0,0,47.07,0,0,5.35,0,0,0,0
21Day,5.35,1.34,0,0,0,0,0,0,0,0,1.34,38.82,1.34,8.03,1.34,0,0,33.46,1.34,1.34,0,1.34,0,0,0
3Month,0,0,0.32,2.24,0,0,1.28,0,3.52,0.32,0.96,1.28,0.32,0.64,0,0,0,0,0.64,0.64,0,0,0.32,6.08,0.96
22Month,0,0.55,0,0.55,0,0,1.09,1.09,11.48,0,1.09,1.09,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
