stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,28.6,0,0,0,4.09,0,0,0,4.09,0,0,0,0,57.21,69.47,4.09,4.09,0,0,0,0,8.17,32.69,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,11.77,1.07,10.7,0,0,0,0,0,0,0,0,0,0,10.7,85.58,0,5.35,0,0,0,0,121.96,16.05,0,2.14,0,6.42,3.21,0,5.35,0,1.07,0,0,0
21Day,2.68,0,38.82,1.34,2.68,0,0,0,0,1.34,0,0,1.34,1.34,1.34,22.76,13.39,1.34,17.4,0,0,1.34,0,74.96,1.34,0,1.34,0,9.37,4.02,5.35,0,2.68,0,0,0,1.34
3Month,0.32,0.32,33.27,0,0,0.64,0,0,0.64,0,0,65.91,0.96,0,1.92,14.08,2.88,0.96,9.28,1.28,0,0.64,0.32,0.64,0,0.96,0.32,0,0.64,0.96,34.23,0,0,0,0.64,7.36,0.96
22Month,0,0.55,21.87,0.55,0,0,0,1.09,3.28,1.09,0,12.57,1.09,0.55,1.09,7.11,0.55,0.55,4.92,0,1.09,0.55,0,1.64,0,3.28,3.83,0.55,0.55,0.55,37.17,0,0,0,0,0.55,1.64
