stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,40.86,0,0,0,0,351.43,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,2.14,1.07,0,0,0,0,0,0,0,1.07,3.21,2.14,14.98,0,0,0,16.05,34.23,0,10.7,0,0,7.49,1.07,1.07,0,0
21Day,2.68,0,12.05,1.34,0,1.34,0,0,1.34,1.34,1.34,0,1.34,0,37.48,0,1.34,0,5.35,30.79,0,28.11,4.02,0,2.68,0,0,0,0
3Month,0,0.32,8.64,0,0,0,0.64,4.48,1.28,0.32,0.32,0,1.92,0.64,12.16,2.56,0.32,0.32,0,0.96,0.64,0.64,0.96,1.28,0,0,0.64,2.56,2.88
22Month,0.55,0,1.09,0,0.55,0,1.09,19.68,0.55,0.55,1.64,0,0.55,0.55,10.39,0,0,0,0,0.55,0,0,0.55,0,1.09,0,0,0,0.55
