stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,302.39,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,49.04,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,2388.84,2.14,8.56,2.14,8.56,0,0,0,0,0,0,0,1.07,0,1.07,0,38.51,10.7,0,27.81,2.14,0,99.49,48.14,1.07,54.56,1.07,0,12.84,0,1.07,280.29,0,0,0
21Day,1199.33,0,25.43,0,20.08,0,2.68,0,0,0,0,0,4.02,1.34,8.03,8.03,1.34,12.05,8.03,26.77,0,13.39,49.53,30.79,1.34,9.37,13.39,0,2.68,4.02,13.39,49.53,0,0,1.34
3Month,132.46,1.92,10.56,0,0,0.64,0.64,0.64,0.32,0.96,0,0,6.72,4.16,0,3.2,0.96,2.24,2.88,8.32,0,0.64,0.64,0.96,0.32,0.64,2.56,4.8,0.64,0,0,0.64,0.32,0.96,2.24
22Month,11.48,3.28,8.2,0,0,0.55,0.55,0,0.55,10.39,3.28,0,51.93,2.19,2.19,10.39,0,1.09,9.84,12.03,1.09,0.55,4.92,0,1.09,0,0.55,7.11,0,0,0,0,0.55,0,3.83
