stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,0,6.42,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,6.69,1.34,0,1.34,0
3Month,0,0.32,0.64,0.96,0.64,0,0,0,0,4.48,0,3.52
22Month,0,0,0,1.09,0,0,0,0,0,0.55,0,0.55
