stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,8.17,0,0,0,0,24.52,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,16.05,3.21,1.07,0,0,0,1.07,3.21,2.14,0,0,0,0,2.14,0,0,0
21Day,1.34,0,5.35,1.34,0,0,0,0,0,0,1.34,12.05,0,0,1.34,0,0,0,2.68,1.34,0,0,1.34,0,1.34,0,0,0
3Month,0,1.28,10.24,0,0.32,5.12,0.96,0,12.16,0.32,4.48,16.32,1.28,0.96,0.96,0.32,0,2.24,0,0,1.92,0.32,0,5.44,0,0.96,1.6,0.96
22Month,0,3.83,1.64,0,0,1.64,0.55,0.55,13.67,0,2.73,2.73,0,0.55,0,0,1.64,0,0,0.55,1.09,0.55,0,0,0,0,0,0
