stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,192.06,0,0,0,16.35,0,0,0,0
72hpf,2.14,0,13.91,1.07,0,0,0,0,145.49,0,1.07,3.21,1.07,0,6.42,0,0
21Day,0,0,20.08,0,0,1.34,1.34,5.35,238.26,1.34,0,1.34,1.34,1.34,0,1.34,1.34
22Month,0,0.55,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
