stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,20.43,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,2.14,0,11.77,5.35,19.26,0,2.14,0
21Day,0,1.34,1.34,1.34,0,4.02,13.39,2.68,4.02,1.34,0,1.34
3Month,0.64,0,0,0,0.32,0,0,0,0,0.96,0,0
