stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,5.35,0,0,0,0,0,0,0,0,0,0,4.28,0,22.47,0,0,2.14,0,142.28,8.56,0,0,0,18.19,0,0,14.98,0,0,0,0
21Day,4.02,1.34,0,4.02,0,2.68,0,0,0,0,0,0,0,1.34,4.02,0,34.8,0,0,10.71,0,68.27,8.03,0,2.68,0,2.68,2.68,0,5.35,0,1.34,0,1.34
3Month,0,0,0.32,17.6,0,0,0.32,0.32,1.6,0,7.36,0.96,1.28,0.96,13.76,1.92,11.52,15.36,0,0.64,0.32,3.52,0,6.08,0.96,0,0,1.92,46.07,0.32,0,0.32,8.64,3.52
22Month,0.55,0.55,0,4.37,0.55,0,0,1.09,3.83,1.64,22.41,0.55,2.19,1.09,2.73,1.64,9.29,3.83,0.55,0,0,3.28,0.55,9.29,0.55,3.28,0,0,15.31,1.09,1.64,0,0,0
