stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,24.52,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0
21Day,0,0,1.34,0,4.02,0,0,0,0,1.34,0,0,0,0,0,4.02,2.68,1.34,0,0
3Month,0,0.96,0,0,0,0,0,1.6,0.32,0,0.32,0,0,0,0,0,0,0,0.64,0
22Month,0,0,0,0.55,0,1.09,0.55,10.39,0,0,0.55,0.55,0.55,0,0.55,0,0,0,0.55,0.55
