stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,2.14,0,3.21,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,1.07,0,0
21Day,0,6.69,32.12,1.34,1.34,0,2.68,0,0,0,1.34,0,1.34,0,84.33,4.02,0,0,0,0,0,2.68,0,0,4.02,4.02,0,1.34,1.34,0,2.68
3Month,0,11.2,108.46,21.76,0,0.32,85.11,0.96,34.87,2.88,0.64,9.92,0.96,2.88,29.76,8,0.96,0.64,2.24,0.32,0.64,0.32,6.4,0,1.92,2.88,1.6,0,0,0.96,2.88
22Month,1.09,100.04,15.31,28.97,0,2.19,12.03,4.92,42.64,1.64,1.09,20.77,0,0,39.91,2.73,0,2.73,1.09,0,0,0,3.28,0.55,0.55,0,0,0,0,0,3.28
