stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0
72hpf,5.35,0,3.21,3.21,0,0,0,0,0,0,0,2.14,2.14,0,5.35,0,257.82,20.33,0,0,1.07,2.14,0,0
21Day,2.68,1.34,6.69,8.03,0,12.05,0,0,0,1.34,0,1.34,0,1.34,5.35,0,153.93,5.35,4.02,1.34,0,0,0,2.68
3Month,0,0.32,1.28,0,0.32,0,0.64,1.92,0.96,0,0.64,0,0,0.32,0.32,0.32,3.84,0,0,3.52,0,0,5.76,1.28
22Month,0,0,0,0,0,0,1.64,4.92,2.19,0,0,0,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0
