stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,36.14,5.35,0,0,0,0,0,0,0,0,13.39,0,0,0,0,376.13,0,5.35,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0.96,0.64,7.68,0,0,1.6,4.48,13.12,4.16,0.32,2.56,0.64,2.56,3.2,4.48,0.32,0,555.11,0.64,0,0,0,1.28,0,2.88,1.28,0.32,0.64,0,0.64,2.24,2.88
22Month,0.55,0,1.64,0,0.55,0.55,0,4.92,0,0.55,0,0,0.55,1.09,2.19,0,0.55,126.82,0,0,0,0.55,2.73,0.55,0,0,0,0,0,0,0,0
