stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,2.68,1.34,0,0,0,0,1.34
3Month,0,0.96,0.32,0.96,0,1.28,0.32,0,0.96,0,0.64,0.32,0.64,0.64,0,0,0.32,0.32,0.32,0.96,0.96
22Month,0,1.09,0,1.09,0.55,3.28,0,0,0.55,0.55,0,0.55,1.09,0,0,0,0,0,0,0,1.64
