stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,0,0,0,1.07,0,0,0,0,0
21Day,0,4.02,2.68,0,0,0,0,0,1.34,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34
3Month,0.32,5.44,0,0.32,0.96,0,3.2,0,0,3.2,0.32,0.32,1.6,0.64,0.64,0.32,0,0.32,0.32,0,0,1.92
22Month,0,0,0,0,1.09,0,1.64,0.55,0,0.55,0,0.55,0,0.55,0.55,0,0,0,0,0,0.55,0
