stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,1.07,0,0,4.28,0,0,41.72,9.63,0,5.35,0,1.07,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,4.02,0,0,5.35,4.02,0,0,0,0,0,0
3Month,0,0,2.88,0,0,0,1.28,0.32,0.64,0,0.32,0.32,0.32,0.64,0,0.32,0,2.56,0,9.28,0.64
22Month,0,0.55,1.09,0,0.55,3.28,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
