stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,8.17,114.42,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,4.28,0,0,1.07,0,0,0,1.07,0,0,2.14,1.07,5.35,0,5.35,34.23,0,1.07,3.21,0,0,0,0,0,0,0
21Day,4.02,0,1.34,17.4,0,24.09,14.72,0,1.34,0,14.72,0,1.34,0,2.68,21.42,0,5.35,24.09,0,0,2.68,5.35,0,4.02,2.68,1.34,0,1.34
3Month,0,0,0.32,1.6,0.32,0,0,0.64,3.2,0.32,0,0.96,0,0.64,0.64,0.64,0.64,0,0,0,0,0,0,6.72,0,0,0.32,21.12,0.96
22Month,0,0,0,2.19,0,0,0,2.19,3.83,0.55,1.64,1.09,0,0,2.19,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0,1.64
