stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,33.16,0,0,0,0,1.07,0,3.21,2.14,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,28.11,4.02,0,0,0,0,0,0,1.34,0,0,2.68,85.67,2.68,8.03,0,0,1.34,0,4.02,1.34,0,0,1.34,0,0,1.34,0,0,0
3Month,0.64,0.96,0.32,206.37,0,0.32,0.64,3.52,4.8,0,9.92,3.52,0.64,8.32,2.24,28.48,5.76,5.12,0.64,0,1.92,0.96,1.28,0.32,1.6,0.32,0.32,2.24,6.08,0,1.92,6.08,4.16
22Month,0,2.73,0,22.41,0,1.09,0.55,1.09,8.2,1.64,20.23,4.37,0.55,5.47,1.64,3.28,10.39,4.92,0,1.09,1.09,0,0.55,0,0.55,0,0.55,0,12.03,0,0.55,0,1.64
