stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,2.14,2.14,0,0,0,0,2.14,1.07,0,0,0
21Day,1.34,6.69,1.34,0,0,0,1.34,0,2.68,1.34,2.68,0,0,2.68,0,0,1.34,0,1.34,1.34,0,1.34,1.34,0,0,0,0,0,1.34
3Month,3.2,5.12,0.32,1.28,2.56,0,4.8,2.56,0,40.31,1.28,0.96,3.84,3.52,0.32,0,0.32,0.32,0.32,0,0.96,0,0.32,8.64,0,0,6.4,4.48,3.84
22Month,0.55,3.28,0,0.55,2.19,2.73,8.75,1.09,0.55,20.23,0.55,0,2.19,1.09,0,0.55,0.55,0,0,0,0.55,0,0,1.64,0,0.55,0.55,0,2.19
