stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,85.81,0,0,0,0,0,0,0,0,0,0,4.09,8.17,28.6,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,225.73,2.14,4.28,0,0,0,0,0,0,0,0,4.28,1.07,2.14,1.07,0,0,8.56,3.21,0,0,5.35,0,0,0,0,0,0
21Day,0,104.41,1.34,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,1.34,1.34,0,0,2.68,1.34,1.34,0,0,0,0
3Month,0,111.66,6.4,0,0,1.6,1.92,0,3.84,3.84,2.24,0.32,1.28,0.96,2.24,0,0.64,0.32,0.32,0,0.32,2.24,0,1.28,2.24,0,1.28,0.64,1.28
22Month,0.55,103.32,1.64,0,0.55,0.55,1.64,0.55,12.57,2.19,0.55,1.09,1.09,3.28,2.19,0,0.55,0,0,0,0,2.19,0,7.11,4.92,0.55,0,0,0
