stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,1.34,0,0
3Month,0.32,0,0.32,0.32,0.32,0.32,0.32,0,0,0,0.64,0.32
