stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,T_cell
3Month,0,0,0,0.32,0.32,0,1.6
22Month,0.55,0.55,0.55,0,0,2.19,3.83
