stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,0,0,0,0,0,0,0,0,0,16.05,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,16.06,1.34,0,0,2.68,0,1.34,0,1.34,0,12.05,5.35,0,0,0,0,0,1.34,0,0,0,4.02
3Month,0,0,0.32,3.84,0,0,0.32,1.92,0,0.32,4.16,0.32,0.64,0.96,1.92,0,0.32,0,0,0.32,0,0.96,0.32,0.32,5.76
22Month,0,0.55,0,1.64,0,0.55,0,5.47,0.55,2.73,0.55,0,0.55,0,1.64,0.55,0,0,0,0,0,0,0,0,2.73
