stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,36.78,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,6.69,1.34,1.34,0,0,1.34,0,0,0
3Month,0,0.32,0,0.32,0.32,7.36,0.96,4.8,0.32,11.84,0.32,0,0,0.32,0,0.64,0.32,1.6
22Month,0,0.55,0.55,0,0,15.31,5.47,2.19,0,10.93,1.09,0,0,0,0,0,0.55,1.64
