stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell
24hpf,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,1.07,1.07,1.07,0,0,0,0
21Day,2.68,0,1.34,1.34,2.68,0,1.34,1.34,0,1.34
3Month,0,0.64,0,0,0,0,0,0,0.32,0
