stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,1.07,3.21,14.98,11.77,1.07,0,0,1.07,0
21Day,1.34,0,2.68,2.68,1.34,0,0,2.68,5.35,9.37,4.02,2.68,0,5.35,0,1.34
3Month,0,0.32,2.24,0,0,0,1.28,0,0.32,0,0.32,0,1.28,0,0,0
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
