stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,0,0,0,0,0,1.07,2.14,0,1.07,0,0,23.54,1.07,0,1.07,2.14,0,0,0,1.07,0,0
21Day,0,0,5.35,1.34,0,0,0,1.34,0,0,0,0,9.37,1.34,0,46.85,0,0,0,4.02,2.68,0,0,1.34,0,0
3Month,0,0.32,3.2,0,0.32,0,0,41.91,0.64,0.32,0.64,0.64,0.96,0,0.32,0.32,0,1.6,0,0.32,0.32,0.32,0.32,0,2.56,0.32
22Month,0,0,1.09,0,0,0.55,1.64,1.64,0,0,0,1.09,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0
