stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,9.37,2.68,1.34,10.71,1.34,6.69,1.34,0,0,0,0,34.8,4.02,17.4,9.37,40.16,22.76,1.34,0,26.77,1.34,0,2.68,4.02,16.06,0,1.34,0,0,792.41
3Month,0.32,0,0,5.12,0,0,0,0.96,6.4,6.08,4.48,0.32,1.92,1.28,0.64,13.12,4.48,0,0.32,0,0,0.64,0,0,1.6,0.96,0,1.6,2.56,268.76
22Month,0,0,0,0,0,0,0,0,3.28,4.92,0,0.55,0.55,0,0.55,9.84,0,0,0,0.55,0,0,0,0,0,0,0,0,0,49.75
