stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34
3Month,0.32,0.32,8.32,0,0.32,0.64,0,0,0.32,0
22Month,0,0,2.19,1.09,0,0,0,0,0,0
