stage,Enterocyte,Erythrocyte,Hepatocyte,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,8.17,0
72hpf,0,1.07,0,0,0,0,1.07,1.07
21Day,0,0,0,0,0,1.34,0,1.34
3Month,0.32,0,1.92,0,0,0,0,0
22Month,0,0,3.28,0.55,0.55,0,0,0
