stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,474.02,0,0,0,0,16.35,0,0,0,0,0,0,44.95,4.09,24.52,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,75.96,0,1.07,0,0,0,1.07,0,0,0,0,0,251.4,240.7,4.28,1.07,0,2.14,0,1.07,31.02,16.05,1.07,0,9.63,0,0,2.14,0,0,1.07,0,0
21Day,5.35,1.34,2.68,85.67,4.02,14.72,0,1.34,0,1.34,0,9.37,0,17.4,4.02,1104.29,279.75,13.39,42.83,0,5.35,5.35,0,57.56,33.46,0,0,6.69,9.37,0,2.68,6.69,9.37,0,0,14.72
3Month,0.32,0.32,4.48,49.59,0.32,0,0.64,0,22.08,4.8,0,8.96,6.4,0.32,2.88,2.24,15.04,27.84,31.67,0.64,0,0.96,0,3.52,0,1.6,0,61.75,0.96,5.12,0,0,0,0,0.64,44.79
22Month,0,2.73,258.57,367.35,0,0,1.64,0.55,54.67,15.85,1.09,44.83,15.31,3.83,20.77,9.84,38.27,65.6,8.75,0.55,1.09,12.57,0,10.39,0,2.73,1.64,39.36,0.55,2.19,0,0,0,0,5.47,13.12
