stage,Hepatocyte,Keratinocyte,Neural_cell,Primordial_germ_cell
72hpf,0,0,1.07,0
21Day,0,0,1.34,1.34
3Month,0.32,0.32,8.32,0
22Month,1.64,0,0,1.09
