stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,4.09,12.26,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,0,0,11.77,16.05,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,0,1.34,1.34,2.68,5.35,0,0,1.34,0,0,0,1.34,0,1.34,2.68,1.34,1.34,0,0,0,4.02,5.35,0,0,5.35,0,0,0,0,0,0,2.68
3Month,0,0.64,8.64,10.56,0,0.32,1.6,2.24,0,6.72,3.84,0,106.86,0,1.92,3.84,2.24,0.32,0,0,0,0,0.64,0.32,0.32,0.64,1.28,0.32,0,1.28,0.32,3.2
22Month,0,1.09,2.19,1.09,0,0,0.55,4.37,0,10.39,0,0.55,18.04,0,0.55,0,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0
