stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,16.35,0,24.52,0,0,0,0,0,0,0,4.09,0,0,0,4.09,8.17,760.07,12.26,65.38,0,0,0,28.6,392.29,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,11.77,12.84,0,29.95,2.14,10.7,0,0,0,0,0,0,1.07,0,0,0,64.19,892.21,3.21,18.19,3.21,0,0,482.48,117.68,1.07,8.56,0,11.77,1.07,1.07,31.02,1.07,0,2.14,0,0,0
21Day,9.37,1.34,8.03,129.84,1.34,1.34,0,4.02,0,1.34,0,0,1.34,2.68,0,42.83,2.68,356.05,0,20.08,0,1.34,1.34,116.45,64.25,0,13.39,0,4.02,9.37,1.34,36.14,2.68,9.37,0,0,1.34,5.35
3Month,0.64,6.4,22.4,95.66,0.32,0,0.32,0.32,6.4,3.2,0,0,13.44,0.64,0,343.95,2.24,4.8,1.28,7.36,0,1.28,1.6,6.4,2.56,8,27.52,0,0,0.96,4.16,6.4,0,0,0.64,0.96,2.24,2.88
22Month,0,3.28,24.6,18.59,0.55,0,0.55,0,7.65,3.83,2.73,0,37.72,1.64,0.55,315.97,0,3.28,3.28,3.83,0,1.64,1.09,3.83,1.64,1.64,59.59,0.55,0,0,3.28,13.12,1.64,0,0,0.55,0,0
