stage,Granulocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,1.07,2.14,2.14,1.07,0
21Day,1.34,0,0,4.02,0,1.34
