stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,36.78,4.09,0,28.6,0,0,16.35,0,0,0,0,4.09,4.09,40.86,20.43,0,0,12.26,2827.79,0,4.09,8.17,0,0,0,0,0,0,0
72hpf,14.98,5.35,0,0,11.77,0,0,0,0,0,0,2.14,12.84,0,8.56,1.07,1.07,155.12,900.76,16.05,22.47,1.07,0,85.58,1.07,0,1.07,0,0
21Day,2.68,0,1.34,5.35,17.4,0,0,4.02,1.34,6.69,2.68,1.34,5.35,4.02,17.4,0,4.02,73.62,548.8,4.02,25.43,13.39,0,88.34,1.34,4.02,1.34,0,13.39
3Month,0,0,0,0.64,0,0.32,0,0,0,0.32,0.32,0,0.64,0.64,0.96,0,2.56,0,2.56,0.64,0,0,3.52,0,0,0,0,1.28,0.32
22Month,0,0,0,0.55,0,0,0,2.73,0,0,0.55,0,0,0.55,2.19,0,0,0,0,0,0,0.55,18.04,0,0,0,0,0,0
