stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,4.09,0,0,0,0,0,0,0,0,0,0,32.69,4.09,8.17,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,16.05,1.07,2.14,1.07,1.07,0,0,0,0,0,0,0,0,93.07,0,0,0,1.07,11.77,22.47,1.07,0,2.14,0,0,1.07,0,0,0
21Day,13.39,0,17.4,0,68.27,0,56.22,0,0,1.34,1.34,0,0,34.8,1.34,4.02,0,0,56.22,10.71,5.35,1.34,4.02,4.02,1.34,1.34,0,0,0
3Month,0.32,0.64,11.2,0.32,0,0.32,0.96,0.96,0.64,3.84,0.96,0,1.28,1.6,1.28,0.96,1.28,0,4.48,0.64,0,2.88,0,0.64,28.48,0,0.32,4.16,1.28
22Month,0,0,1.09,0.55,0,0.55,0,0.55,0.55,11.48,1.09,0.55,2.73,0,0.55,2.19,0,1.64,4.37,0,0,1.09,0,0,3.83,0,0.55,0,0
