stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,2.14,1.07,0,0,0,0,0,1.07,1.07,1.07,0,0,166.89,4.28,1.07,0,3.21,0,2.14,0,3.21,0,0,0
21Day,2.68,0,8.03,2.68,2.68,0,0,0,1.34,0,1.34,1.34,2.68,0,1.34,68.27,2.68,0,0,2.68,0,1.34,4.02,1.34,0,0,0
3Month,0,0,2.24,0,0,0.32,1.28,0.32,0,0.32,0.96,0.64,2.56,0,0,2.24,0,0.96,0,0,0.32,0,0,0,0.32,0.64,0.32
22Month,0,0.55,0,0,0,0,2.73,1.09,0.55,0.55,0.55,0.55,1.64,0.55,0,0.55,0,1.64,2.19,0,1.09,0,0,0,0,0,0.55
