stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,0,8.17,4.09,0,0,0,4.09,4.09,0
72hpf,0,1.07,2.14,2.14,0,2.14,0,1.07,0,0,0
21Day,0,8.03,0,1.34,0,1.34,1.34,0,0,1.34,0
3Month,0,0.64,0,0,0,0,0,0,0,0,0.32
