stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,0,20.43,0,0,0,0,0,0,0,8.17,0,16.35,16.35,0,4.09,518.97,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,3.21,0,6.42,7.49,0,0,0,4.28,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,1.34,0,0,0,0,1.34,4.02,1.34,4.02,0,0,0,1.34,2.68,1.34,0,0
3Month,0,0,1.92,0.64,0,0,1.92,1.6,0,0.64,0,0.64,0.96,1.28,0,0,0,0.32,0,0,0.32,3.84,0,0.64,0.64
22Month,0,1.09,4.37,0,2.73,0.55,21.87,0.55,0,0.55,0,2.19,2.73,2.19,0,0.55,0.55,0.55,24.05,0,0,7.11,0,0,0
