stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,531.23,0,0,4.09,0,0,0,0,0,0,0,0,0,24.52,8.17,61.3,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,180.79,0,0,0,1.07,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,0,0,0,7.49,6.42,0,0,1.07,0,0,0,2.14,0,1.07,0,0,0
21Day,219.52,0,0,5.35,2.68,0,0,0,0,0,0,0,0,1.34,0,9.37,0,0,1.34,0,9.37,0,0,0,5.35,0,0,0,0,1.34,0,0,0,0
3Month,8.64,0.96,0.32,5.76,0,0.64,1.28,0,12.48,1.28,0.64,2.56,0,1.92,5.76,11.84,0.64,0,0.64,0.96,0,0,0,0.64,0.32,0.96,48.31,0.32,0,0,0,0.96,3.84,1.92
22Month,4.37,2.19,1.09,13.67,0,0,3.28,1.09,66.69,2.19,1.64,1.09,0,1.64,15.31,15.85,0.55,0.55,4.37,0,1.09,0,0.55,0,0,0.55,23.51,0,0.55,0,0,0,0,1.09
