stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neurosecretory_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,5.35,0,0,0,0,0
3Month,0,0.96,0,0.64,0,10.88,0,4.8,0.64,0.64,0.32,0.32,0.32
22Month,0.55,0,0.55,0,0.55,7.11,0.55,4.92,0,0,1.09,0,0
