stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0,2.56,0.32,0.32,2.24,1.92,0.32,27.84,0.64,0.32,0.64,0.32,0.32,0.32,0.96,4.48,0.64,0.32,0.64
22Month,0,0.55,0.55,0.55,0.55,3.83,0,0,12.03,0,0,1.09,0,0,0,0.55,5.47,0,0,0
