stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell
72hpf,0,0,0,0,0,0,2.14
21Day,2.68,0,0,0,0,2.68,1.34
3Month,0.32,0.32,0.32,0.64,0.32,0,0
22Month,0,0,0.55,0.55,0,0,0
