stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0
3Month,0.32,14.08,0,0.32,0.96,0,3.2,1.92,0.32,0.64,0.32,0.96,0.96,1.92,0,0.96,0.96,0,0,0,0.32,0.32,1.28,124.78,0.32,9.6
22Month,0,12.57,0.55,0,0,0.55,5.47,1.64,0,2.73,0,0,0.55,0.55,1.64,0.55,0,0,0,1.09,0,0,0,3.28,0,10.93
