stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,1.34,0,0,2.68,0,0,2.68,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0.32,8.64,33.27,0.32,0.32,43.83,1.28,0,6.08,1.92,0.32,165.41,0.32,3.52,26.24,0.96,0,0,13.44,1.28,0.32,0,4.16,0,1.92,1.92,1.28,0.32,2.24,1.92
22Month,1.64,11.48,31.16,0,0,36.63,2.73,1.09,17.49,3.28,0,221.4,0,0.55,10.39,4.37,0.55,1.09,18.59,0,0.55,0,7.11,0.55,1.64,2.19,0.55,0,0,1.64
