stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,1.34,2.68,0,0,0,0,6.69
3Month,0.32,0.32,0.32,25.6,0.32,1.28,0.64,0,4.48,1.6,0.96,1.6,1.6,0.64,1.28,0.32,107.5,0.64,0,5.12,0.32,1.28,0.96,3.2,26.88
22Month,0,2.19,0.55,16.4,0,2.73,0,0.55,9.84,0,1.09,0,0,0,0.55,0,77.08,0,0,12.03,0,0,3.28,0,28.43
