stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,0,0,0,1.07,0,0,0,1.07,0,2.14,2.14,0,1.07,0,0,0,0,3.21,3.21,0,0,0,3.21,1.07,0,0,0,0,0,0,0
21Day,0,0,5.35,0,1.34,0,0,0,2.68,0,1.34,0,4.02,0,0,1.34,4.02,4.02,0,0,0,0,4.02,1.34,0,1.34,0,2.68,0,0,0,0,0,0,0,0
3Month,0.32,0.32,9.6,0,0,0.32,0,0.96,1.28,0,13.12,0.96,0.32,5.12,1.28,2.56,2.88,1.28,0.32,0,0.32,0.64,0.64,0,0.32,0.32,0,0.32,0.32,3.84,0.32,0,0,0.32,0.96,2.56
22Month,1.09,2.19,13.12,0.55,0,1.09,0.55,2.73,8.2,1.64,117.53,4.92,2.73,14.21,0.55,3.28,4.37,4.92,0,1.09,0,0.55,0.55,0,0.55,1.09,0.55,0.55,0.55,2.73,0,0.55,0.55,0,0,2.73
