stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,923.53,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,24.52,4.09,0,0,0,0,0
72hpf,545.59,1.07,0,1.07,3.21,0,0,0,0,0,0,2.14,0,1.07,1.07,12.84,14.98,7.49,0,0,0,0,0
21Day,431.01,2.68,9.37,0,5.35,0,0,0,2.68,1.34,2.68,1.34,5.35,8.03,0,4.02,2.68,2.68,4.02,1.34,6.69,0,2.68
3Month,2.24,0,4.48,0,0,0.32,2.88,0.96,0,0.64,0,0.64,4.48,0,0,0,0,0,0.32,1.28,0,0.32,0.64
22Month,0.55,0.55,0.55,0,0,0.55,7.65,0,0,0.55,0,0,0.55,1.09,0,0,0,0,0,5.47,0,0,0
