stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,8.56,0,0,0,0,2.14,0,0,2.14,0,0,1.07,0,1.07,1.07,0,0,0
21Day,0,0,12.05,1.34,0,0,0,0,1.34,1.34,0,0,2.68,0,0,0,1.34,5.35,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0,4.48,0,0.32,0.64,5.44,0.64,2.56,0,0.32,1.28,1.92,0.32,0,0.32,0.64,0.32,0,0,0.96,133.74,0.32,0,1.92,95.98,2.56
22Month,0,0.55,1.09,0,0,0.55,5.47,0,2.19,0,0,1.09,0,0,0.55,0,0,0,0.55,0.55,0,28.97,0,0,0,0,0
