stage,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,28.6,0,0
21Day,0,1.34,4.02,0,0,0,1.34
3Month,0,0,0,0.32,0,0.32,0
22Month,1.09,0,0,0,0,0,0
