stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,1.07,0,0,0,0,0
21Day,4.02,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,1.34,1.34,0,0,0
3Month,0,0.64,0.32,1.28,0,0,0.32,0,0,2.56,0.64,0,0.32,0,0.96,0.32,0,0.32,0.32,0,0,0.32,0.96,0.64,0.32
22Month,0,0.55,0,1.09,0.55,0.55,0,4.37,0.55,29.52,1.64,0.55,1.09,0.55,0,0,1.64,0,0,0,0,0,0.55,0,1.09
