stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,8.17,0,57.21,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,12.26,24.52,187.97,0,0,0,0,32.69,3681.85,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,14.98,0,0,0,0,9.63,18.19,0,0,0,7.49,0,0,3.21,0,0,0,0
21Day,1.34,0,0,8.03,0,1.34,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,14.72,0,0,0,0,4.02,8.03,0,0,0,9.37,2.68,0,1.34,0,0,0,0
3Month,0,1.6,0.32,20.48,0.32,0,0.32,0.32,1.6,2.24,0,0,5.44,2.24,1.28,4.16,0.96,2.88,2.88,5.44,2.88,0,1.6,0.96,1.92,0.64,1.6,0.64,0,0,1.28,124.46,0,0,0.96,26.24,3.2
22Month,0.55,0.55,2.19,8.2,0,0,0.55,1.09,0,7.65,2.19,0,31.71,4.37,2.19,16.4,0,0,6.56,5.47,0,3.83,0.55,0,0.55,1.09,0.55,0,1.64,0,0.55,50.84,0,0.55,0,0,1.64
