stage,Cardiomyocyte,Erythroid_progenitor_cell,Granulocyte,Neural_cell,Primordial_germ_cell
72hpf,2.14,0,0,4.28,0
21Day,0,1.34,0,1.34,0
22Month,0,0,0.55,0,0.55
